StopID,Name,Shortname,Municipality,Zone,X,Y,RealTimeDatabaseID
3011566,Grankollveien,GRAV,OSL,1,604044,6643042,1
3011567,Landeroveien,LRV,OSL,1,603820,6643532,1
3011571,Alfaset (i Strømsveien),ALF,OSL,1,603750,6645190,1
3011572,Alna senter,ALS,OSL,1,603217,6644791,1
3011574,Alnabruveien,ALBV,OSL,1,602593,6644370,1
3011575,Tittutveien,TITV,OSL,1,603058,6644563,1
3011576,Smalvollveien,SMAV,OSL,1,603011,6644433,1
3011581,Arvesetveien,ARSV,OSL,1,603234,6644921,1
3011583,Postens verksteder,POVE,OSL,1,603065,6645292,1
3011585,Tollpost-Globe,TOGL,OSL,1,603339,6645599,1
3011586,Postens godssenter,POGO,OSL,1,603460,6645534,1
3011610,Lindeberg [T-bane],LIB,OSL,1,605185,6645434,2
3011611,Lindeberg T [buss],LIBT,OSL,1,605121,6645433,1
3011612,Lindeberg sykehjem,LIBS,OSL,1,604836,6645202,1
3011614,Jeriko skole,JES,OSL,1,605374,6645673,1
3011615,Furuset skole (sydside av E6),FUSKS,OSL,1,605746,6645962,1
3011616,Furuset skole (n. side Karih.vn),FSKN,OSL,1,605769,6645955,1
3011617,Furuset skole (s. side Karih.vn),FSKS,OSL,1,605732,6645910,1
3011619,Furuset skole (nordside av E6),FUSKN,OSL,1,605721,6646020,1
3011620,Furuset [T-bane],FUR,OSL,1,605990,6646410,2
3011621,Furuset T [buss],FURT,OSL,1,606040,6646360,1
3011623,Nordre Gran,NGR,OSL,1,606299,6646474,1
3011624,Gransletta,GRSL,OSL,1,606126,6646793,1
3011626,Vestre Haugen,VHAU,OSL,1,605916,6647205,1
3011627,Stjerneblokkveien,STBV,OSL,1,605540,6647280,1
3011630,Ellingsrudåsen [T-bane],ELÅ,OSL,1,607100,6645890,2
3011631,Ellingsrudåsen T [buss],ELÅT,OSL,1,607132,6645897,1
3011632,Edvard Munchs vei,EDMV,OSL,1,606784,6646153,1
3011634,Erling Michelsens vei,EMIV,OSL,1,606413,6645914,1
3011635,Karihaugen,KAH,OSL,1,607661,6646025,1
3011641,IKEA Furuset,IKFU,OSL,1,604570,6645621,1
3011643,Sam. Eydes vei,SEyv,OSL,1,605095,6645879,1
3011645,Alnaparkveien,APKV,OSL,1,605098,6646199,1
3011646,Prof. Birkelands vei,PBIV,OSL,1,605317,6646629,1
3011651,Skjønhaug,SH,OSL,1,604516,6645063,1
3011652,Trosterudkrysset (sydsiden),TROKS,OSL,1,604265,6644867,1
3011653,Trosterudkrysset (nordsiden),TROKN,OSL,1,604264,6645030,1
3011654,Kjelsrud (i Tvetenveien),KJER,OSL,1,604064,6645230,1
3011655,Kjelsrud (i Strømsveien),KJR,OSL,1,604066,6645378,1
3011656,Alfaset gravlund,ALFG,OSL,1,603935,6645463,1
3011657,Alfasetveien,ALFV,OSL,1,603849,6645785,1
3011659,Trosterud (ved E6),TROS,OSL,1,604178,6644993,1
3011660,Høybråten [tog],HB,OSL,1,607680,6647195,3
3011665,Folkvangveien,FOLV,OSL,1,607147,6646398,1
3011667,Bjørnheim,BJM,OSL,1,606883,6646505,1
3011668,Høystakkveien,HSTV,OSL,1,606432,6646949,1
3011671,Høybråten kirke,HBRK,OSL,1,606722,6646757,1
3011672,Solbakken,SOB,OSL,1,607166,6646748,1
3011673,Bikuben,BIKU,OSL,1,607519,6646770,1
3011674,Karl Andersens vei,KAAV,OSL,1,607598,6646476,1
3011675,Granliveien,GRLV,OSL,1,607753,6646334,1
3011676,Fjellborg,FJB,OSL,1,607943,6646599,1
3011677,Vardeheim,VH,OSL,1,607843,6646818,1
3011678,Høybråten park,HBRP,OSL,1,608021,6646951,1
3011710,Rommen [T-bane],ROM,OSL,1,606620,6648729,2
3011711,Rommen (i Fossumveien),ROMN,OSL,1,606586,6648892,1
3011714,Tokeruddalen,TOKD,OSL,1,607014,6648843,1
3011715,Sveiva (i Fossumveien),SVEIV,OSL,1,606291,6648852,1
3011716,Sveiva (i Trondheimsveien),SVEI,OSL,1,606128,6648850,1
3011717,Romsåsfoten,RÅSF,OSL,1,605859,6648538,1
3011720,Stovner [T-bane],STO,OSL,1,607390,6648770,2
3011721,Stovner T [buss],STVT,OSL,1,607365,6648755,1
3011722,Fossum  (Stovner),FOS,OSL,1,607372,6648609,1
3011723,Øvre Fossum,ØFOS,OSL,1,607582,6648400,1
3011724,Olaus Fjørtofts vei,OFV,OSL,1,607805,6648456,1
3011725,Jonny Svorkmos vei,JSVV,OSL,1,608020,6648242,1
3011730,Vestli [T-bane],VES,OSL,1,607700,6649870,2
3011731,Vestli T [buss],VEST,OSL,1,607665,6649842,1
3011733,Gullberget,GULB,OSL,1,607334,6649471,1
3011734,Jacobine Ryes vei,JRYV,OSL,1,607127,6649212,1
3011741,Rommi,ROMM,OSL,1,606521,6649236,1
3011743,Bånkallenga,BÅNE,OSL,1,606858,6649677,1
3011744,Bånkallstubben,BÅNS,OSL,1,607124,6650018,1
3011745,Skillebekk (i Trondheimsveien),SBE,OSL,1,607538,6650281,1
3011750,Haugenstua [tog],HAUG,OSL,1,606610,6647530,3
3011751,Haugenstua stasjon [buss],HAUS,OSL,1,606731,6647547,1
3011752,Haugenstua torg,HATO,OSL,1,606621,6647685,1
3011756,Haavard Martinsens vei,HMV,OSL,1,606049,6647877,1
3011757,Jernkroken,JK,OSL,1,605945,6647838,1
3011760,Smedstua,SMA,OSL,1,606915,6647723,1
3011761,Haugenstua skole,HAUSK,OSL,1,607341,6647751,1
3011762,Smiuvegen,SMIV,OSL,1,607441,6647730,1
3011763,Jorines vei,JORV,OSL,1,607707,6647749,1
3011764,Stovnerskogen sykehjem,STSY,OSL,1,607883,6647384,1
3011765,Stovnerfaret (i Stovnerbakken),STVF,OSL,1,608034,6647981,1
3011770,Lørenskog [tog],LØR,OSL,1,608560,6646930,3
3011771,Lørenskog stasjon [buss],LØRS,OSL,1,608653,6646825,1
3011772,Stovner bru,STBR,OSL,1,608335,6647082,1
3011773,Fjellstuveien,FJSV,OSL,1,608267,6647429,1
3011774,Tjonerudveien,TJOV,OSL,1,608258,6647686,1
3011775,Stovnerbakken (i Stovnerveien),STVB,OSL,1,608106,6647946,1
3011810,Romsås [T-bane],RÅS,OSL,1,605570,6648720,2
3011812,Tiurleiken,TIUL,OSL,1,605535,6648788,1
3011815,Romsås senter,RÅSS,OSL,1,605819,6648992,1
3011816,Orremyr,ORR,OSL,1,605983,6649050,1
3011817,Gangtunnelen,GANG,OSL,1,605912,6648722,1
3011821,Ravnkollen,RAK,OSL,1,605496,6649043,1
3011822,Ravnkollbakken,RAKB,OSL,1,605518,6649247,1
3011823,Romsås kirke,RÅSK,OSL,1,605539,6649403,1
3011824,Røverkollen,RØK,OSL,1,606027,6649791,1
3011825,Øvre Svarttjern,ØSVT,OSL,1,606299,6649802,1
3011826,Svarttjern,SVT,OSL,1,606372,6649524,1
3011827,Emanuelfjell,EMFJ,OSL,1,606086,6649239,1
3011910,Rødtvet [T-bane],RØD,OSL,1,603808,6647447,2
3011913,Rødtvet (sydsiden av Trondhvn),RØDTS,OSL,1,603938,6647404,1
3011914,Rødtvet (nordsiden av Trondhv),RØDTN,OSL,1,603609,6647212,1
3011920,Kalbakken [T-bane],KAL,OSL,1,604244,6647786,2
3011921,Flaen (Tr.heimsvn),FLA,OSL,1,604315,6647768,1
3011922,Kalbakkveien,KALV,OSL,1,604187,6647476,1
3011923,Kalbakkstubben,KALS,OSL,1,604245,6647375,1
3011924,Nordtvetveien,NOTV,OSL,1,604464,6647575,1
3011925,Grønlund,GRØL,OSL,1,604720,6647762,1
3011926,Sagstuveien,SASV,OSL,1,605030,6647791,1
3011927,Grorud skole,GRSK,OSL,1,605141,6648263,1
3011930,Ammerud [T-bane],AMM,OSL,1,604496,6648204,2
3011931,Ammerud T (i Ammerudveien),AMMT,OSL,1,604464,6648209,1
3011932,Ammerud (i Trondheimsveien),AMR,OSL,1,604668,6648236,1
3011933,Ammerudhellinga,AMMH,OSL,1,604554,6648708,1
3011934,Ammerud skole,AMMS,OSL,1,604505,6648931,1
3011935,Alundamveien,ALDV,OSL,1,604415,6649148,1
3011936,Breisjøgrenda,BREG,OSL,1,604451,6649437,1
3011937,Huken,HUN,OSL,1,604608,6649729,1
3011938,Ammerudlunden,AMLU,OSL,1,604537,6648509,1
3011940,Grorud [T-bane],GRO,OSL,1,605088,6648607,2
3011941,Grorud T [buss],GROT,OSL,1,605136,6648568,1
3011942,Grorudkrysset (nordsiden),GROK,OSL,1,605278,6648446,1
3011943,Grorudkrysset (sydsiden),GRKR,OSL,1,605355,6648424,1
3011944,Grorud senter (i Bergensveien),GROS,OSL,1,605102,6648642,1
3011945,Hagelundveien,HLUV,OSL,1,605158,6649057,1
3011946,Skogstad,SKOS,OSL,1,605066,6649339,1
3011947,Monica-skolen,MONS,OSL,1,604749,6649592,1
3011950,Bredtvet,BT,OSL,1,604079,6646884,1
3011952,Tine-meieriet,TINE,OSL,1,604346,6646808,1
3011953,Lindab,LINB,OSL,1,604478,6646953,1
3011954,Christoffer Hellums vei,CHV,OSL,1,604688,6647107,1
